Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Fwd IAT Mean,Bwd IAT Mean,Active Mean,Idle Mean,Label
55990.765,23,39,6945,36134,1434,54,301.95652173913044,1434,54,926.5128205128206,769.3947385787638372149407139,1.107325466976563009989236618,920,1560,0.4107820280719507940282651969,0.6965434389046122159609714209,54,1434,694.8225806451613,669.4479074434672,448160.5007804371,2.542634636363636363636363636,1.472221236842105263157894737,0,0.9030768548387096774193548387,BENIGN
57370.116,66,95,7910,76637,219,54,119.84848484848484,1434,54,806.7052631578947,1473.711505132741931356736319,2.806339105188492210822791434,2640,3800,1.150424726350562024312448662,1.655914378837930186510342771,54,1434,525.1366459627329,549.4480290322134,301893.136607384,0.8816496615384615384615384615,0.6094180851063829787234042553,0,0.3563361242236024844720496894,BENIGN
57359.029,74,243,49074,194315,1434,54,663.1621621621622,1434,54,799.6502057613169,4243.255233626775655494447090,5.526592857769611127831330618,2960,9720,1.290119468375240452553686012,4.236473389394370675277644606,54,1434,767.788643533123,635.3077319842567,403615.9143189802,0.7846363424657534246575342466,0.2368523966942148760330578512,0,0.1809433091482649842271293375,BENIGN
45070.879,2,2,110,132,55,55,55,66,66,66,5.369320620527502913799395836,0.08874910116574384981486604688,80,80,0.04437455058287192490743302344,0.04437455058287192490743302344,55,66,60.5,5.5,30.25,45.031627,45.040641,0,11.26771975,BENIGN
45063.868,2,2,110,132,55,55,55,66,66,66,5.370155975070759571726066657,0.08876290867885553011117465549,80,80,0.04438145433942776505558732775,0.04438145433942776505558732775,55,66,60.5,5.5,30.25,45.032904,45.035281,0,11.265967,BENIGN
48769.266,9,6,2708,1539,644,54,300.8888888888889,459,54,256.5,87.08353330558635022310977573,0.3075707557296433372608068368,360,240,0.1845424534377860023564841021,0.1230283022918573349043227347,54,644,283.1333333333333,225.34414175261404,50779.98222222221,6.09615825,9.7322502,0,3.2512844,BENIGN
45129.032,2,2,110,132,55,55,55,66,66,66,5.362401746175278033882933718,0.08863473960620294270880882178,80,80,0.04431736980310147135440441089,0.04431736980310147135440441089,55,66,60.5,5.5,30.25,45.070092,45.071021,0,11.282258,BENIGN
56172.209,7,6,1938,1264,814,54,276.85714285714283,499,54,210.66666666666666,57.00327718997128989532884491,0.2314311691035686348030215440,280,240,0.1246167833634600341247039083,0.1068143857401086006783176357,54,814,246.30769230769232,287.2654587432715,82521.44378698223,9.348102833333333333333333333,11.1709208,0,4.320939153846153846153846154,BENIGN
45174.996,2,2,110,132,55,55,55,66,66,66,5.356945687388660753838251585,0.08854455681634150006344217496,80,80,0.04427227840817075003172108748,0.04427227840817075003172108748,55,66,60.5,5.5,30.25,45.117602,45.06146,0,11.293749,BENIGN
6161.054,57,132,24161,169326,1292,71,423.87719298245617,1494,67,1282.7727272727273,31404.85377988896055772275328,30.67656930129162964648581233,1596,3696,9.251663757532396242590959274,21.42490554375923340389485306,67,1494,1023.7407407407408,636.6084669496973,405270.3401920439,0.1092739642857142857142857143,0.04666761068702290076335877863,0,0.03259816931216931216931216931,BENIGN
48106.662,22,28,1507,32218,93,54,68.5,1434,54,1150.642857142857,701.0463540372017497285511100,1.039357085303486656380357465,880,1120,0.4573171175335341288073572845,0.5820399677699525275730001803,54,1434,674.5,665.5796045553079,442996.21,2.290793428571428571428571429,0.1042358888888888888888888889,0,0.96213324,BENIGN
45127.872,2,2,110,132,55,55,55,66,66,66,5.362539585292211429778918004,0.08863701793871423850874244635,80,80,0.04431850896935711925437122318,0.04431850896935711925437122318,55,66,60.5,5.5,30.25,45.08573,45.051033,0,11.281968,BENIGN
45058.923,2,2,110,132,55,55,55,66,66,66,5.370745323850727635012492420,0.08877264998100376256218995736,80,80,0.04438632499050188128109497868,0.04438632499050188128109497868,55,66,60.5,5.5,30.25,45.025305,45.03709,0,11.26473075,BENIGN
45124.63,2,2,110,132,55,55,55,66,66,66,5.362924859439290693353053532,0.08864338610643455691492650466,80,80,0.04432169305321727845746325233,0.04432169305321727845746325233,55,66,60.5,5.5,30.25,45.065053,45.060997,0,11.2811575,BENIGN
196.97,5,4,410,412,182,54,82,238,54,103,4173.224348885617099050616845,45.69223739655785144945930852,200,160,25.38457633142102858303294918,20.30766106513682286642635934,54,238,91.33333333333333,64.96494781375911,4220.444444444444,0.03581,0.03820233333333333333333333333,0,0.02188555555555555555555555556,BENIGN
19177.271,9,0,703,0,85,54,78.11111111111111,0,0,0,36.65797912539276313089594448,0.4693055649054550045207162166,360,0,0.4693055649054550045207162166,0E+6,54,85,78.11111111111111,12.88793099888802,166.09876543209876,2.397158875,0,0,2.130807888888888888888888889,BENIGN
28.556,1,1,1242,99,1242,1242,1242,99,99,99,46960.35859364056590558901807,70.03782042302843535509174954,28,28,35.01891021151421767754587477,35.01891021151421767754587477,99,1242,670.5,571.5,326612.25,0,0,0,0.014278,BENIGN
